id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000374,Ralph Abraham,A000374,412630,21522,Ralph Abraham (politician),Q18683775,kg:/m/012dwd7_,Ralph,Abraham,16/09/1954,M,,,,Ralph Abraham,,,,,2244,76236,155414,,Ralph Lee Abraham,N00036633,"[""H4LA05221""]",2086,,
A000375,Jodey Arrington,A000375,412726,21700,Jodey Arrington,Q6207815,kg:/m/0g9_f_1,Jodey,Arrington,09/03/1972,M,,C.,,Jodey Arrington,,,,,,1016482,155685,,Jodey C. Arrington,N00038285,"[""H6TX19099""]",2238,,
A000376,Colin Allred,A000376,412828,21900,Colin Allred,Q5144845,,Colin,Allred,15/04/1983,M,,Z.,,Colin Allred,,,,,,,177357,,Colin Z. Allred,N00040989,"[""H8TX32098""]",,,
A000377,Kelly Armstrong,A000377,412794,21901,Kelly Armstrong,Q50362353,kg:/g/11hcszksh3,Kelly,Armstrong,08/10/1976,M,,,,Kelly Armstrong,,,,,,,139338,,Kelly Armstrong,N00042868,"[""H8ND00096""]",,,
A000378,Cynthia Axne,A000378,412772,21902,Cindy Axne,Q58324150,kg:/g/11fgktcgcb,Cynthia,Axne,20/04/1965,F,,,,Cindy Axne,,,,,,,179226,,Cynthia Axne,N00041104,"[""H8IA03124""]",,,
B000001,Clinton Babbitt,B000001,401007,311,Clinton Babbitt,Q1101655,kg:/m/02vrpxj,Clinton,Babbitt,1831-11-16,M,8774,,,,,,,,,,,,,,,,,
B000002,Elijah Babbitt,B000002,401008,312,Elijah Babbitt,Q5360882,kg:/m/0ktbz_,Elijah,Babbitt,1795-07-29,M,8775,,,,,,,,,,,,,,,,,
B000003,Alfred Babcock,B000003,401009,313,Alfred Babcock,Q4722270,kg:/m/02rkl_q,Alfred,Babcock,1805-04-15,M,8776,,,,,,,,,,,,,,,,,
B000004,Joseph Babcock,B000004,401010,314,Joseph W. Babcock,Q1708153,kg:/m/02q7c52,Joseph,Babcock,1850-03-06,M,8778,Weeks,,,,,,,,,,,,,,,,
B000005,Leander Babcock,B000005,401011,315,Leander Babcock,Q6509509,kg:/m/0dc1t9,Leander,Babcock,1811-03-01,M,8779,,,,,,,,,,,,,,,,,
B000006,William Babcock,B000006,401012,316,William Babcock (politician),Q8004895,kg:/m/02rkxvb,William,Babcock,,M,8780,,,,,,,,,,,,,,,,,
B000007,John Babka,B000007,401013,317,John J. Babka,Q1700563,kg:/m/02rm1p3,John,Babka,1884-03-16,M,8782,Joseph,,,,,,,,,,,,,,,,
B000008,James Bacchus,B000008,401014,29112,Jim Bacchus,Q1689028,kg:/m/05pytj,James,Bacchus,21/06/1949,M,8783,,,,,,,,37,,,,,,,,,
B000009,Isaac Bacharach,B000009,401015,318,Isaac Bacharach,Q1673360,kg:/m/02vn_7h,Isaac,Bacharach,1870-01-05,M,8784,,,,,,,,,,,,,,,,,
B000010,Nathan Bachman,B000010,401016,319,Nathan L. Bachman,Q1768884,kg:/m/0433yl,Nathan,Bachman,1878-08-02,M,,Lynn,,,,,,,,,,,,,,,,
B000011,Reuben Bachman,B000011,401017,320,Reuben Knecht Bachman,Q7317480,kg:/m/0kt0hv,Reuben,Bachman,1834-08-06,M,8786,Knecht,,,,,,,,,,,,,,,,
B000012,Carl Bachmann,B000012,401018,321,Carl G. Bachmann,Q1038201,kg:/m/04j_wz,Carl,Bachmann,1890-05-14,M,8787,George,,,,,,,,,,,,,,,,
B000013,Spencer Bachus,B000013,400010,29301,Spencer Bachus,Q1368315,kg:/m/024p0v,Spencer,Bachus,28/12/1947,M,8789,Thomas,,Spencer Bachus,III,,,,38,26397,26715,,Spencer Bachus,N00008091,"[""H2AL06035""]",133,,
B000014,Augustus Bacon,B000014,401019,322,Augustus Octavius Bacon,Q4821512,kg:/m/053z8b,Augustus,Bacon,1839-10-20,M,,Octavius,,,,,,,,,,,,,,,,
B000015,Ezekiel Bacon,B000015,401020,323,Ezekiel Bacon,Q1385984,kg:/m/0d7yf_,Ezekiel,Bacon,1776-09-01,M,8791,,,,,,,,,,,,,,,,,
B000016,Henry Bacon,B000016,401021,324,Henry Bacon (New York politician),Q3182005,kg:/m/02rkqb4,Henry,Bacon,1846-03-14,M,8793,,,,,,,,,,,,,,,,,
